ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1001,Active,,,,228.25,0,0,0,54.75,0,0,0,9,0,0,0,07-22-2014,07-23-2014,,
1002,Active,Philadelphia,PA,19122,13.5,0,0,0,2,0,0,0,0,0,0,0,10-05-2017,10-06-2017,,
1003,Active,Philadelphia,PA,19104,33.5,0,2,2,2.5,0,1,1,0,0,0,0,04-30-2017,04-30-2017,,
1004,Active,Philadelphia,PA,19124,12.1166666667,0,9,9,0,0,0,0,0,0,0,0,10-25-2017,10-25-2017,,
1005,Active,Philadelphia,PA,19111,19,0,0,0,1,0,0,0,0,0,0,0,06-20-2017,06-20-2017,,
1006,Active,Philadelphia,PA,19106,20,0,0,0,0,0,0,0,0,0,0,0,10-29-2015,10-29-2015,,
1007,Active,Philadelphia,PA,19129,0,0,0,0,0,0,0,0,0,0,0,0,11-03-2017,11-03-2017,,
1008,Active,Philadelphia,PA,19106,0,0,0,0,0,0,0,0,0,0,0,0,10-27-2017,10-27-2017,,
1009,Active,Philadelphia,PA,19128,36.3333333333,0,0,0,23.75,0,0,0,0,0,0,0,10-25-2017,10-26-2017,,
1010,Active,Philadelphia,PA,19123,16,0,0,0,6,0,0,0,0,0,0,0,01-30-2017,01-30-2017,,
1011,Active,,,,175.5,0,0,0,48.75,0,0,0,15.25,0,0,0,11-07-2016,11-07-2016,,
1012,Active,Philadelphia,PA,19104,18.5,0,0,0,0,0,0,0,0,0,0,0,05-01-2017,05-01-2017,,
1013,Active,Upper Darby,PA,19082,3,0,0,0,0,0,0,0,0,0,0,0,10-11-2017,10-11-2017,,
1014,Active,Philadelphia,PA,19107,57,0,0,0,0,0,0,0,0,0,0,0,11-01-2012,11-05-2012,,05-01-2009
1015,Active,Philadelphia,PA,19145,139.5,0,0,0,0,0,0,0,0,0,0,0,04-23-2014,04-23-2014,,
