"","ID","Site","Place","Assignment","From.date","To.date","From.time","To.time","Hours","No.Call.No.Show","Call.Email.to.miss.shift","Absence"
"1",1922,"PAWS Adoption Center - Old City","Volunteer Services","PAC Cat Mentee Shift (for shadowing only)","06-13-2018","06-13-2018","5:14 pm","7:13 pm",2,0,0,0
"2",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","10-10-2017","10-10-2017","","",2,0,0,0
"3",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","10-07-2017","10-07-2017","","",2,0,0,0
"4",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","10-17-2017","10-17-2017","","",2,0,0,0
"5",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","10-24-2017","10-24-2017","","",2,0,0,0
"6",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","10-31-2017","10-31-2017","","",2,0,0,0
"7",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","11-02-2017","11-02-2017","","",0,0,1,1
"8",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","11-07-2017","11-07-2017","","",2,0,0,0
"9",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","12-12-2017","12-12-2017","","",2,0,0,0
"10",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","02-06-2018","02-06-2018","9:01 am","11:01 am",2,0,0,0
"11",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","02-13-2018","02-13-2018","8:57 am","11:02 am",2,0,0,0
"12",1954,"PAWS Adoption Center - Old City","Volunteer Services","PAC Dog Mentee Shift (for shadowing only)","02-16-2018","02-16-2018","6:02 pm","7:02 pm",1,0,0,0
"13",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","02-20-2018","02-20-2018","9:01 am","11:00 am",2,0,0,0
"14",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","02-22-2018","02-22-2018","8:53 am","11:00 am",2,0,0,0
"15",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","02-27-2018","02-27-2018","9:03 am","11:01 am",2,0,0,0
"16",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","03-01-2018","03-01-2018","8:55 am","11:01 am",2,0,0,0
"17",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","03-15-2018","03-15-2018","8:58 am","10:58 am",2,0,0,0
"18",1954,"PAWS Adoption Center - Old City","Volunteer Services","PAC Dog Mentee Shift (for shadowing only)","03-16-2018","03-16-2018","5:51 pm","6:56 pm",1,0,0,0
"19",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","03-20-2018","03-20-2018","8:56 am","10:00 am",1,0,0,0
"20",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","03-22-2018","03-22-2018","8:56 am","11:00 am",2,0,0,0
"21",1954,"PAWS Adoption Center - Old City","Volunteer Services","Dog Walking Volunteer - PAC","03-22-2018","03-22-2018","11:00 am","12:05 pm",1,0,0,0
"22",1954,"PAWS Adoption Center - Old City","Volunteer Services","Cat Care Volunteer - PAC","03-29-2018","03-29-2018","8:56 am","10:59 am",2,0,0,0
"23",1954,"PAWS Adoption Center - Old City","Volunteer Services","Dog Walking Volunteer - PAC","03-29-2018","03-29-2018","10:59 am","12:59 pm",2,0,0,0
